Q_YF,P_YF,Q_IF,P_IF,Q_SC,P_SC,Q_TC,P_TC,Q_PF,P_PF,Q_LP,P_LP,Q_C,P_C,Q_HP,P_HP
14.5255,0.002,12.4344,0.001,51.932,0.002,32.316,0.002,37.2,0.001,12.84,0.001,23.576,0.002,38.32,0.001
13.9099,0.004,11.443,0.003,28.767,0.004,16.874,0.004,36.2,0.002,10.37,0.002,13.125,0.004,26.22,0.002
11.7118,0.007,10.3564,0.004,23.892,0.006,15.936,0.006,27,0.003,9.71,0.003,13.092,0.006,23.23,0.003
10.4245,0.009,10.0143,0.006,12.941,0.008,10.945,0.009,24.2,0.004,9.45,0.004,11.958,0.008,22.93,0.004
10.2695,0.011,9.3597,0.007,10.949,0.01,9.263,0.011,21.8,0.005,9.34,0.005,11.61,0.011,22.59,0.005
10.0601,0.013,9.211,0.008,9.209,0.012,9.226,0.013,19.9,0.006,9.33,0.006,11.502,0.013,21.4,0.007
9.9903,0.015,8.9693,0.01,9.028,0.014,8.723,0.015,19.1,0.007,8.72,0.007,11.442,0.015,21.33,0.008
9.9772,0.018,7.7195,0.011,8.886,0.016,8.646,0.017,18.4,0.009,8.51,0.008,10.648,0.017,21.04,0.009
9.9173,0.020,7.5465,0.013,8.421,0.018,8.022,0.019,18.2,0.01,8.09,0.009,10.372,0.019,20.01,0.01
9.2548,0.022,7.2208,0.014,7.367,0.02,7.816,0.021,17.5,0.011,7.76,0.01,10.212,0.021,19.62,0.011
9.212,0.024,7.0415,0.016,6.889,0.022,7.042,0.024,16.3,0.012,7.68,0.011,9.293,0.023,19.49,0.012
8.9619,0.026,6.6823,0.017,6.857,0.024,6.937,0.026,16.2,0.013,7.67,0.012,9.181,0.025,19.08,0.013
8.8978,0.029,6.5396,0.018,5.117,0.026,5.73,0.028,15.9,0.014,7.5,0.013,8.757,0.027,18.88,0.014
8.8451,0.031,6.5071,0.02,4.556,0.028,5.623,0.03,15.9,0.015,7.32,0.014,8.157,0.029,18.78,0.015
7.8894,0.033,6.1908,0.021,3.777,0.03,5.523,0.032,15.6,0.016,7.18,0.015,8.114,0.032,18.77,0.016
7.8566,0.035,6.0808,0.023,3.545,0.032,5.391,0.034,15.5,0.017,7.04,0.016,7.889,0.034,18.15,0.018
6.6986,0.037,6.0435,0.024,3.448,0.034,5.39,0.036,15.5,0.018,6.97,0.017,7.751,0.036,17.77,0.019
6.0482,0.040,5.9364,0.025,3.271,0.036,5.359,0.038,15,0.019,6.96,0.018,7.733,0.038,17.2,0.02
5.4274,0.042,5.8476,0.027,2.78,0.038,5.24,0.041,15,0.02,6.83,0.018,7.461,0.04,16.8,0.021
5.3678,0.044,5.8286,0.028,2.779,0.04,5.237,0.043,14.6,0.021,6.79,0.019,7.437,0.042,16.72,0.022
5.3309,0.046,5.6534,0.03,2.68,0.042,5.1,0.045,14.6,0.022,6.71,0.02,6.973,0.044,16.16,0.023
5.3141,0.048,5.6236,0.031,2.344,0.044,4.874,0.047,14.3,0.023,6.59,0.021,6.907,0.046,16.06,0.024
5.3014,0.051,5.5871,0.032,2.165,0.046,4.863,0.049,14.1,0.024,6.46,0.022,6.865,0.048,15.86,0.025
5.2857,0.053,5.5847,0.034,2.141,0.048,4.524,0.051,14.1,0.026,6.4,0.023,6.639,0.05,15.82,0.026
5.2325,0.055,5.5189,0.035,2.084,0.05,4.514,0.053,13.9,0.027,6.36,0.024,6.623,0.053,15.71,0.027
5.0605,0.057,5.4253,0.037,2.028,0.052,4.504,0.056,13.8,0.028,6.34,0.025,6.614,0.055,15.6,0.028
4.7943,0.059,5.4213,0.038,1.884,0.054,4.426,0.058,13.8,0.029,6.12,0.026,6.565,0.057,15.52,0.03
4.7405,0.062,5.3899,0.04,1.725,0.056,4.173,0.06,13.7,0.03,6.09,0.027,6.503,0.059,15.39,0.031
4.7211,0.064,5.2203,0.041,1.611,0.058,4.14,0.062,13.6,0.031,6.09,0.028,6.403,0.061,15.18,0.032
4.6496,0.066,5.2139,0.042,1.609,0.06,4.076,0.064,13.3,0.032,6.05,0.029,6.375,0.063,15.16,0.033
4.5925,0.068,5.1444,0.044,1.552,0.062,4.013,0.066,13.2,0.033,5.98,0.03,6.354,0.065,14.77,0.034
4.4869,0.070,5.1138,0.045,1.521,0.064,3.814,0.068,13.2,0.034,5.89,0.031,6.302,0.067,14.63,0.035
4.4771,0.073,5.044,0.047,1.498,0.066,3.651,0.071,13.2,0.035,5.87,0.032,6.23,0.069,14.35,0.036
4.4675,0.075,5.0416,0.048,1.466,0.068,3.352,0.073,13,0.036,5.85,0.033,6.229,0.071,14.25,0.037
4.4434,0.077,4.97,0.049,1.46,0.07,3.297,0.075,13,0.037,5.85,0.034,6.215,0.074,14.22,0.038
4.3582,0.079,4.9467,0.051,1.441,0.072,3.257,0.077,12.8,0.038,5.8,0.035,6.179,0.076,14.18,0.039
4.1177,0.081,4.9257,0.052,1.43,0.074,3.02,0.079,12.7,0.039,5.7,0.036,6.129,0.078,14.09,0.041
4.1151,0.084,4.9131,0.054,1.401,0.076,3.008,0.081,12.6,0.04,5.69,0.037,6.099,0.08,14.04,0.042
4.099,0.086,4.9086,0.055,1.388,0.078,2.826,0.083,12.6,0.042,5.64,0.038,6.079,0.082,13.86,0.043
4.0076,0.088,4.9059,0.056,1.362,0.08,2.809,0.085,12.6,0.043,5.5,0.039,6.035,0.084,13.85,0.044
3.9804,0.090,4.8922,0.058,1.313,0.082,2.775,0.088,12.6,0.044,5.47,0.04,6.014,0.086,13.75,0.045
3.9709,0.093,4.7953,0.059,1.267,0.083,2.764,0.09,12.4,0.045,5.46,0.041,5.983,0.088,13.61,0.046
3.969,0.095,4.7841,0.061,1.261,0.085,2.748,0.092,12.3,0.046,5.43,0.042,5.857,0.09,13.44,0.047
3.8629,0.097,4.7089,0.062,1.166,0.087,2.634,0.094,12,0.047,5.4,0.043,5.799,0.092,13.25,0.048
3.7965,0.099,4.6843,0.064,1.128,0.089,2.615,0.096,11.8,0.048,5.26,0.044,5.76,0.095,13.17,0.049
3.7507,0.101,4.6403,0.065,1.099,0.091,2.602,0.098,11.8,0.049,5.21,0.045,5.738,0.097,13.15,0.05
3.6897,0.104,4.6357,0.066,1.072,0.093,2.584,0.1,11.6,0.05,5.2,0.046,5.687,0.099,13.12,0.051
3.6128,0.106,4.6317,0.068,1.013,0.095,2.56,0.103,11.5,0.051,5.16,0.047,5.652,0.101,12.59,0.053
3.5736,0.108,4.6298,0.069,0.983,0.097,2.432,0.105,11.5,0.052,5.13,0.048,5.648,0.103,12.46,0.054
3.5151,0.110,4.5987,0.071,0.983,0.099,2.407,0.107,11.5,0.053,5.13,0.049,5.639,0.105,12.41,0.055
3.5062,0.112,4.5957,0.072,0.924,0.101,2.355,0.109,11.4,0.054,5.09,0.05,5.636,0.107,12.41,0.056
3.4967,0.115,4.5941,0.073,0.896,0.103,2.307,0.111,11.3,0.055,5.06,0.051,5.538,0.109,12.25,0.057
3.4307,0.117,4.5638,0.075,0.887,0.105,2.25,0.113,11.1,0.056,5.05,0.052,5.362,0.111,12.21,0.058
3.398,0.119,4.5528,0.076,0.877,0.107,2.22,0.115,11,0.058,4.99,0.053,5.273,0.113,12.03,0.059
3.2978,0.121,4.5498,0.078,0.828,0.109,2.079,0.118,10.9,0.059,4.96,0.054,5.255,0.116,12.01,0.06
3.2443,0.123,4.545,0.079,0.819,0.111,2.048,0.12,10.8,0.06,4.94,0.054,5.242,0.118,11.92,0.061
3.2305,0.126,4.4954,0.081,0.817,0.113,2.039,0.122,10.8,0.061,4.92,0.055,5.206,0.12,11.85,0.062
3.1968,0.128,4.4841,0.082,0.798,0.115,1.986,0.124,10.8,0.062,4.92,0.056,5.193,0.122,11.71,0.064
3.1578,0.130,4.4777,0.083,0.796,0.117,1.984,0.126,10.7,0.063,4.9,0.057,5.137,0.124,11.63,0.065
3.133,0.132,4.4699,0.085,0.785,0.119,1.973,0.128,10.7,0.064,4.87,0.058,5.074,0.126,11.5,0.066
3.0844,0.134,4.4127,0.086,0.773,0.121,1.893,0.13,10.7,0.065,4.86,0.059,5.056,0.128,11.41,0.067
3.0019,0.137,4.4106,0.088,0.758,0.123,1.75,0.132,10.7,0.066,4.76,0.06,5.008,0.13,11.39,0.068
2.9231,0.139,4.4103,0.089,0.749,0.125,1.74,0.135,10.7,0.067,4.73,0.061,4.919,0.132,11.38,0.069
2.9131,0.141,4.3918,0.09,0.746,0.127,1.726,0.137,10.7,0.068,4.73,0.062,4.863,0.134,11.38,0.07
2.8857,0.143,4.3795,0.092,0.74,0.129,1.717,0.139,10.6,0.069,4.69,0.063,4.83,0.137,11.26,0.071
2.881,0.145,4.3379,0.093,0.713,0.131,1.655,0.141,10.6,0.07,4.69,0.064,4.809,0.139,11.24,0.072
2.8563,0.148,4.3304,0.095,0.688,0.133,1.637,0.143,10.4,0.071,4.69,0.065,4.764,0.141,11.17,0.073
2.8525,0.150,4.3033,0.096,0.671,0.135,1.585,0.145,10.2,0.072,4.64,0.066,4.702,0.143,11.12,0.074
2.7665,0.152,4.2982,0.097,0.663,0.137,1.547,0.147,10.2,0.073,4.58,0.067,4.698,0.145,11.08,0.076
2.7191,0.154,4.2939,0.099,0.662,0.139,1.481,0.15,10.2,0.075,4.55,0.068,4.648,0.147,10.93,0.077
2.7153,0.156,4.2872,0.1,0.651,0.141,1.447,0.152,10.1,0.076,4.53,0.069,4.59,0.149,10.88,0.078
2.6824,0.159,4.2687,0.102,0.648,0.143,1.336,0.154,10.1,0.077,4.51,0.07,4.581,0.151,10.77,0.079
2.6821,0.161,4.2665,0.103,0.618,0.145,1.336,0.156,10.1,0.078,4.5,0.071,4.546,0.153,10.76,0.08
2.6756,0.163,4.197,0.105,0.594,0.147,1.33,0.158,10.1,0.079,4.47,0.072,4.516,0.155,10.73,0.081
2.5947,0.165,4.1941,0.106,0.593,0.149,1.296,0.16,10,0.08,4.46,0.073,4.456,0.158,10.71,0.082
2.5861,0.167,4.1914,0.107,0.586,0.151,1.254,0.162,9.9,0.081,4.46,0.074,4.429,0.16,10.66,0.083
2.5784,0.170,4.1847,0.109,0.571,0.153,1.223,0.165,9.9,0.082,4.45,0.075,4.395,0.162,10.66,0.084
2.5728,0.172,4.1662,0.11,0.571,0.155,1.187,0.167,9.9,0.083,4.43,0.076,4.376,0.164,10.64,0.085
2.5595,0.174,4.1528,0.112,0.557,0.157,1.139,0.169,9.9,0.084,4.43,0.077,4.371,0.166,10.52,0.087
2.5562,0.176,4.1479,0.113,0.551,0.159,1.13,0.171,9.8,0.085,4.42,0.078,4.37,0.168,10.48,0.088
2.4998,0.178,4.1477,0.114,0.546,0.161,1.105,0.173,9.8,0.086,4.38,0.079,4.256,0.17,10.42,0.089
2.4973,0.181,4.102,0.116,0.54,0.163,1.07,0.175,9.8,0.087,4.37,0.08,4.24,0.172,10.42,0.09
2.4634,0.183,4.1002,0.117,0.524,0.165,1.059,0.177,9.7,0.088,4.34,0.081,4.229,0.174,10.4,0.091
2.4505,0.185,4.0969,0.119,0.522,0.167,1.034,0.179,9.7,0.089,4.31,0.082,4.097,0.176,10.33,0.092
2.4424,0.187,4.0567,0.12,0.516,0.169,1.028,0.182,9.7,0.091,4.24,0.083,4.094,0.179,10.32,0.093
2.4119,0.189,4.0387,0.121,0.507,0.171,1.008,0.184,9.5,0.092,4.23,0.084,4.09,0.181,10.2,0.094
